,0,1,2,3,4,5,6,7,8,9,10
0,章:節,馬堅譯本,,王靜齋譯本,,仝道章譯本,,馬金鵬譯本,,馬仲剛譯本,
1,1 : 1,奉至仁至慈的真主之名,,奉普慈特慈安拉之名,,奉大仁大慈的安拉尊名,,"萬贊歸安拉
[注1]
——調養萬世的
[注2]
，",,奉普慈特慈的安拉之名,
2,1 : 2,一切讚頌，全歸真主，全世界的主，,,讚頌安拉；眾世界的養主。,,一切讚頌都屬於安拉——全世界的主,,"普慈特慈的
[注]
，",,"一切讚頌，全歸安拉——眾世界的主
[注]
，",
3,1 : 3,至仁至慈的主，,,普慈特慈的。,,大仁的、大慈的，,,"掌管還報日
[注]
的主。",,普慈的主，特慈的主，,
4,1 : 4,報應日的主。,,執掌還報日的。,,審判日的主。,,我們只崇拜你，我們只求你援助。,,審判日的主。,
5,1 : 5,我們只崇拜你，只求你佑助，,,我們惟獨拜你，惟獨求你相助。,,我們只崇拜你，只求你襄助。,,"引導我們正道
[注]
吧！",,我們只崇拜你，我們只向你求助。,
6,1 : 6,求你引導我們上正路，,,求你引領我們正道；,,求你指引我們正道。,,"那些人們的道路——你施恩給他們
[注]
，",,求你指引我們正道，,
7,1 : 7,你所佑助者的路，不是受譴怒者的路，也不是迷誤者的路。,,就是那一切人的道你曾對他們施恩，不是被怒的，也不是迷誤的。,,那就是曾經蒙你賜福的人的道，而不是那些使你惱怒的人,,而非受惱怒者和非迷失者們的道路。,,"那是蒙你施恩者的道，不是受譴怒者和迷誤者的道
[注]
。",
8,章:節,馬堅譯本,,王靜齋譯本,,仝道章譯本,,馬金鵬譯本,,馬仲剛譯本,
9,2 : 1,艾列弗，倆目，米目。,,阿裏甫、倆模、密默。,,阿立甫，倆目，敏目。,,"艾立夫，倆姆，米姆
[注]
。",,艾利夫，倆目，米目[阿拉伯語三個字母的音譯，唯安拉最知道其意]。,
10,2 : 2,這部經，其中毫無可疑，是敬畏者的嚮導。,,這是其中無有疑惑的經典。 引導一般敬慎的人。,,這本經，其中確實無疑，是給敬畏(安拉)的人們的引導,,"該經
[注]
中無疑是引導敬畏者們的，",,這部經典[《古蘭經》]，內容確實無疑，是敬畏者的指南。,
11,2 : 3,他們確信幽玄，謹守拜功，並分舍我所給與他們的。,,那般人皆信目不能見的。他們立拜功，並就著我所賜給他們的作使用。,,他們相信目不能見的， 堅守拜功，和使用我所供給他們的，並分惠他人。,,"那些人他們相信未見
[注]
，他們履行拜功，他們施費我所賞賜的，",,"他們[敬畏者]確信一切未見之物[如復活，後世，樂園，火獄等]，謹守拜功
[注]
，施用我所賜予他們的[財物]；",
12,2 : 4,他們確信降示你的經典，和在你以前降示的經典，並且篤信後世。,,那般人皆信所降給你的，和在你以前所降的。他們堅信後世。,,他們相信降給你(穆聖)的天經，和在你以前所頒降的，並確信後世。,,"那些人他們歸信我所降給你
[注1]
，及在你以前所降的
[注2]
，並確信後世
[注3]
。",,"他們確信降示你[穆聖]的經典
[注1]
[《古蘭經》]和在你之前所降示的經典[如《討拉特》和《引吉勒》]，並確信後世
[注2]
。",
13,2 : 5,這等人，是遵守他們的主的正道的；這等人，確是成功的。,,他們是守其養主正道的，他們均是得意的。,,這些人依從他們的主的引導，這些人是成功的。,,"這些人是在他們養主之正道
[注1]
上的。這些人是獲救的
[注2]
。",,這些人遵行從他們的主啟示的正道[伊斯蘭教]，這些人確是成功者。,
14,2 : 6,不信道者，你對他們加以警告與否，這在他們是一樣的，他們畢竟不信道。,,不信的那些人，你警告或不警告，在他們一樣地不歸信。,,至於那些不信的人， 無論你警告他們， 或是不警告他們， 對於他們都是一樣的，他們都不會信仰。,,"的確，那些隱昧者
[注1]
，你警告他們與否，他們一樣地不歸信
[注2]
。",,"至於不信仰者
[注]
，無論你警告他們，還是不警告他們，對他們都是一樣的，他們還是不信仰。",
